collection	titles	bundles	no bundle	quota bundles	rvk	no rvk	quota rvk
A	9770	7867	1903	80,52	7452	2318	76,27
Ba	14505	11863	2642	81,79	11691	2814	80,60
Be	12793	11873	920	92,81	11716	1077	91,58
Bg	28756	25077	3679	87,21	23880	4876	83,04
Bk	8488	8047	441	94,80	7820	668	92,13
Bt	15282	12671	2611	82,91	12195	3087	79,80
C	37431	27320	10111	72,99	26136	11295	69,82
Cp	5031	4622	409	91,87	4194	837	83,36
D	41139	33970	7169	82,57	32850	8289	79,85
Diss	48257	47887	370	99,23	45117	3140	93,49
DissDo	95	93	2	97,89	89	6	93,68
E	6724	5565	1159	82,76	5091	1633	75,71
F	66620	62145	4475	93,28	59856	6764	89,85
Fn	23121	20903	2218	90,41	20282	2839	87,72
G	3404	2666	738	78,32	2619	785	76,94
HB	3016	1344	1672	44,56	1131	1885	37,50
Jb	3260	3021	239	92,67	2486	774	76,26
Jc	73817	58810	15007	79,67	49682	24135	67,30
Jf	5189	4915	274	94,72	4522	667	87,15
Js	8202	3112	5090	37,94	2132	6070	25,99
K	1504	1025	479	68,15	946	558	62,90
L	23539	20228	3311	85,93	18800	4739	79,87
M	36999	29383	7616	79,42	28034	8965	75,77
N	20810	16509	4301	79,33	15139	5671	72,75
P	17125	11600	5525	67,74	10804	6321	63,09
PA	445	320	125	71,91	315	130	70,79
Q	10373	8129	2244	78,37	7333	3040	70,69
Rara	11742	9910	1832	84,40	8833	2909	75,23
S	6863	5604	1259	81,66	5020	1843	73,15
Sn	12797	11320	1477	88,46	10850	1947	84,79
T	11179	9753	1426	87,24	9056	2123	81,01
V	13042	10875	2167	83,38	10131	2911	77,68
W	2047	1644	403	80,31	1419	628	69,32
Wn	2573	2114	459	82,16	1873	700	72,79
X	12	5	7	41,67	5	7	41,67
Xn	3	3	0	100,00	3	0	100,00
Y	12547	10404	2143	82,92	9567	2980	76,25
Ya	3	2	1	66,67	2	1	66,67
Yb	2334	2202	132	94,34	2048	286	87,75
Yf	7429	4710	2719	63,40	4440	2989	59,77
Yn	3730	3427	303	91,88	3237	493	86,78
ZA	2640	2279	361	86,33	2132	508	80,76
ZBa	31	2	29	6,45	0	31	0,00
ZBe	77	69	8	89,61	37	40	48,05
ZBg	655	418	237	63,82	271	384	41,37
ZBt	93	59	34	63,44	59	34	63,44
ZC	210	149	61	70,95	115	95	54,76
ZD	823	682	141	82,87	616	207	74,85
ZE	218	104	114	47,71	74	144	33,94
ZF	1953	950	1003	48,64	679	1274	34,77
ZFn	465	378	87	81,29	281	184	60,43
ZG	104	51	53	49,04	46	58	44,23
ZK	1724	1535	189	89,04	1309	415	75,93
ZL	432	239	193	55,32	202	230	46,76
ZM	3250	2832	418	87,14	2268	982	69,78
ZN	1045	883	162	84,50	369	676	35,31
ZP	517	275	242	53,19	151	366	29,21
ZQ	859	615	244	71,59	524	335	61,00
ZS	351	317	34	90,31	100	251	28,49
ZSn	178	118	60	66,29	45	133	25,28
ZT	58	41	17	70,69	12	46	20,69
ZV	208	158	50	75,96	136	72	65,38
ZW	21	7	14	33,33	5	16	23,81
ZWn	69	52	17	75,36	31	38	44,93
ZX	86	41	45	47,67	24	62	27,91
ZXn	239	110	129	46,03	69	170	28,87
ZY	269	229	40	85,13	203	66	75,46
ZYX	2	0	2	0,00	0	2	0,00
ZYf	31	17	14	54,84	4	27	12,90
ZYn	11	8	3	72,73	3	8	27,27
